date,1. open,2. high,3. low,4. close,5. volume
2018-10-16 13:32:00,6.43,6.43,6.43,6.43,6373.0
2018-10-16 13:33:00,6.43,6.43,6.43,6.43,4197.0
2018-10-16 13:34:00,6.425,6.43,6.425,6.43,2829.0
2018-10-16 13:36:00,6.43,6.43,6.43,6.43,3529.0
2018-10-16 13:37:00,6.43,6.43,6.43,6.43,1925.0
2018-10-16 13:38:00,6.43,6.43,6.425,6.425,5425.0
2018-10-16 13:39:00,6.43,6.43,6.43,6.43,2089.0
2018-10-16 13:40:00,6.43,6.43,6.43,6.43,1320.0
2018-10-16 13:41:00,6.43,6.43,6.43,6.43,903.0
2018-10-16 13:42:00,6.43,6.435,6.43,6.435,16935.0
2018-10-16 13:43:00,6.435,6.44,6.435,6.44,9482.0
2018-10-16 13:44:00,6.435,6.435,6.435,6.435,13592.0
2018-10-16 13:45:00,6.44,6.44,6.44,6.44,2280.0
2018-10-16 13:46:00,6.44,6.44,6.425,6.4263,161477.0
2018-10-16 13:48:00,6.425,6.425,6.425,6.425,2939.0
2018-10-16 13:49:00,6.425,6.425,6.425,6.425,1700.0
2018-10-16 13:50:00,6.425,6.425,6.425,6.425,4973.0
2018-10-16 13:51:00,6.425,6.425,6.425,6.425,1696.0
2018-10-16 13:52:00,6.43,6.43,6.42,6.42,11887.0
2018-10-16 13:53:00,6.42,6.42,6.42,6.42,6958.0
2018-10-16 13:54:00,6.42,6.42,6.405,6.405,67096.0
2018-10-16 13:55:00,6.4053,6.4054,6.405,6.405,23211.0
2018-10-16 13:56:00,6.41,6.41,6.41,6.41,2584.0
2018-10-16 13:57:00,6.405,6.405,6.405,6.405,7691.0
2018-10-16 13:58:00,6.405,6.405,6.405,6.405,1000.0
2018-10-16 13:59:00,6.405,6.41,6.405,6.41,6642.0
2018-10-16 14:00:00,6.4,6.405,6.4,6.405,4360.0
2018-10-16 14:02:00,6.41,6.41,6.41,6.41,1801.0
2018-10-16 14:03:00,6.405,6.4099,6.405,6.4099,6899.0
2018-10-16 14:04:00,6.4042,6.41,6.4042,6.41,20038.0
2018-10-16 14:05:00,6.41,6.41,6.41,6.41,1965.0
2018-10-16 14:06:00,6.405,6.405,6.4,6.4,23627.0
2018-10-16 14:07:00,6.41,6.415,6.41,6.415,33911.0
2018-10-16 14:08:00,6.415,6.42,6.415,6.42,5555.0
2018-10-16 14:09:00,6.42,6.42,6.42,6.42,1627.0
2018-10-16 14:10:00,6.42,6.435,6.42,6.435,31502.0
2018-10-16 14:11:00,6.4201,6.425,6.4201,6.425,5049.0
2018-10-16 14:12:00,6.425,6.425,6.425,6.425,721.0
2018-10-16 14:14:00,6.42,6.42,6.41,6.415,31981.0
2018-10-16 14:15:00,6.415,6.415,6.415,6.415,4995.0
2018-10-16 14:16:00,6.42,6.42,6.42,6.42,1136.0
2018-10-16 14:17:00,6.41,6.41,6.41,6.41,6676.0
2018-10-16 14:18:00,6.41,6.41,6.405,6.405,28598.0
2018-10-16 14:19:00,6.41,6.415,6.405,6.415,21671.0
2018-10-16 14:20:00,6.415,6.415,6.415,6.415,1301.0
2018-10-16 14:21:00,6.415,6.415,6.41,6.41,23038.0
2018-10-16 14:22:00,6.405,6.415,6.405,6.415,37253.0
2018-10-16 14:23:00,6.41,6.41,6.41,6.41,23164.0
2018-10-16 14:24:00,6.4026,6.4026,6.4026,6.4026,13062.0
2018-10-16 14:25:00,6.4075,6.415,6.4075,6.41,33455.0
2018-10-16 14:26:00,6.405,6.405,6.405,6.405,3561.0
2018-10-16 14:27:00,6.41,6.41,6.41,6.41,7635.0
2018-10-16 14:28:00,6.41,6.41,6.41,6.41,1302.0
2018-10-16 14:29:00,6.41,6.41,6.41,6.41,669.0
2018-10-16 14:30:00,6.41,6.41,6.41,6.41,5388.0
2018-10-16 14:31:00,6.405,6.405,6.405,6.405,3768.0
2018-10-16 14:32:00,6.405,6.405,6.405,6.405,5690.0
2018-10-16 14:33:00,6.41,6.41,6.41,6.41,2555.0
2018-10-16 14:34:00,6.41,6.41,6.41,6.41,3026.0
2018-10-16 14:36:00,6.41,6.41,6.4075,6.4075,5766.0
2018-10-16 14:37:00,6.405,6.41,6.405,6.41,4917.0
2018-10-16 14:38:00,6.41,6.41,6.41,6.41,746.0
2018-10-16 14:39:00,6.41,6.41,6.41,6.41,2025.0
2018-10-16 14:40:00,6.405,6.405,6.405,6.405,2000.0
2018-10-16 14:41:00,6.41,6.41,6.41,6.41,6979.0
2018-10-16 14:42:00,6.41,6.41,6.405,6.405,4412.0
2018-10-16 14:43:00,6.405,6.41,6.405,6.41,3618.0
2018-10-16 14:44:00,6.405,6.405,6.405,6.405,1492.0
2018-10-16 14:45:00,6.405,6.405,6.405,6.405,11347.0
2018-10-16 14:46:00,6.41,6.41,6.41,6.41,4101.0
2018-10-16 14:47:00,6.41,6.41,6.41,6.41,5149.0
2018-10-16 14:49:00,6.405,6.405,6.405,6.405,4955.0
2018-10-16 14:50:00,6.405,6.4075,6.4,6.4075,26519.0
2018-10-16 14:51:00,6.405,6.41,6.4,6.405,56830.0
2018-10-16 14:52:00,6.405,6.405,6.39,6.395,100373.0
2018-10-16 14:53:00,6.395,6.4,6.39,6.4,95192.0
2018-10-16 14:54:00,6.39,6.395,6.39,6.395,16343.0
2018-10-16 14:55:00,6.4,6.4,6.3975,6.3975,10836.0
2018-10-16 14:56:00,6.4,6.4,6.4,6.4,9501.0
2018-10-16 14:57:00,6.39,6.4,6.39,6.395,13746.0
2018-10-16 14:58:00,6.39,6.395,6.39,6.39,20634.0
2018-10-16 14:59:00,6.39,6.39,6.38,6.38,77588.0
2018-10-16 15:00:00,6.39,6.39,6.38,6.38,37404.0
2018-10-16 15:01:00,6.3875,6.3875,6.38,6.38,12711.0
2018-10-16 15:02:00,6.3875,6.3875,6.385,6.385,9734.0
2018-10-16 15:03:00,6.385,6.39,6.385,6.39,4519.0
2018-10-16 15:04:00,6.3875,6.3875,6.385,6.385,9703.0
2018-10-16 15:05:00,6.385,6.39,6.37,6.375,68329.0
2018-10-16 15:06:00,6.37,6.375,6.37,6.375,8274.0
2018-10-16 15:07:00,6.375,6.39,6.37,6.37,131910.0
2018-10-16 15:08:00,6.375,6.375,6.37,6.37,7200.0
2018-10-16 15:09:00,6.37,6.375,6.37,6.375,4838.0
2018-10-16 15:10:00,6.375,6.3875,6.37,6.385,125366.0
2018-10-16 15:11:00,6.375,6.375,6.375,6.375,10963.0
2018-10-16 15:12:00,6.375,6.38,6.365,6.375,146193.0
2018-10-16 15:13:00,6.375,6.375,6.375,6.375,9057.0
2018-10-16 15:14:00,6.375,6.39,6.375,6.38,199583.0
2018-10-16 15:15:00,6.3775,6.39,6.375,6.39,109556.0
2018-10-16 15:16:00,6.39,6.39,6.39,6.39,13335.0
2018-10-16 15:17:00,6.39,6.39,6.39,6.39,18711.0
2018-10-16 15:18:00,6.385,6.39,6.385,6.39,15203.0
2018-10-16 15:19:00,6.39,6.4,6.39,6.4,46283.0
2018-10-16 15:20:00,6.4,6.4,6.4,6.4,2622.0
2018-10-16 15:21:00,6.4,6.4,6.39,6.4,23949.0
2018-10-16 15:22:00,6.4,6.4,6.395,6.395,13403.0
